,Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
0,28201,Jr Connect,Goiânia,2022-04-15T22:42:24.241695Z,173.40147826683392,33.345,104282457.4189481,120160284.68361996,,189.50.91.195
0,28191,JactosInternet,Goiânia,2022-04-15T22:27:43.630735Z,173.40147826683392,36.117,104436994.0767073,118070515.94702534,,189.50.91.195
1,24134,R2 Telecom,Brasilia,2022-04-15T22:19:40.259319Z,1.349963304740397,13.857,106964210.03765924,111625078.64616728,,189.50.91.195
2,41461,NW TELECOM,Brasília,2022-04-15T22:10:21.249115Z,1.349963304740397,13.321,81162300.31456976,78514739.42885444,,189.50.91.195
